CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumTechTickets,NumAdminTickets,SubscriptionTimeGroup
CUST100026,Male,Yes,No,Yes,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,87.4,4763.03,No,5,0,<3 Years
CUST100027,Female,Yes,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Electronic check,101.23,7967.77,Yes,2,5,<1 Year
CUST100028,Male,No,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,87.96,4628.84,Yes,5,5,<2 Years
CUST100029,Male,Yes,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,19.09,6488.71,No,2,0,<2 Years
CUST100030,Female,No,Yes,Yes,19,No,No,No,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,114.31,4525.25,No,4,0,<2 Years
CUST100031,Male,Yes,Yes,No,62,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer,95.55,7159.38,Yes,1,1,<6 Years
CUST100032,Female,Yes,No,No,14,No,Yes,DSL,No,No,No,No,No,No,Two year,No,Credit card,51.55,4922.59,Yes,6,1,<2 Years
CUST100033,Female,No,Yes,Yes,14,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer,27.25,4998.53,No,1,0,<2 Years
CUST100034,Female,No,No,No,10,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card,64.64,1714.61,No,6,0,<1 Year
CUST100035,Male,No,Yes,Yes,60,No,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,106.2,2220.45,Yes,6,1,<6 Years
CUST100036,Female,No,No,Yes,48,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,105.35,1376.02,Yes,3,5,<5 Years
CUST100037,Male,Yes,No,No,63,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer,62.99,7250.48,Yes,8,4,<6 Years
CUST100038,Female,Yes,Yes,Yes,55,No,Yes,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,64.69,7173.14,Yes,7,0,<5 Years
CUST100039,Male,Yes,No,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card,111.51,4855.68,Yes,2,4,<2 Years
CUST100040,Female,Yes,No,No,63,No,Yes,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,24.83,758.57,No,3,5,<6 Years
CUST100041,Female,Yes,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer,99.83,7377.4,No,9,3,<2 Years
CUST100042,Male,No,Yes,Yes,55,Yes,No,No,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,95.62,5106.52,Yes,5,4,<5 Years
CUST100043,Male,No,No,Yes,22,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,83.51,383.21,Yes,1,0,<2 Years
CUST100044,Male,Yes,Yes,Yes,8,No,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,36.18,3631.27,Yes,7,4,<1 Year
CUST100045,Male,Yes,No,No,38,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,86.9,1127.31,No,4,1,<4 Years
CUST100046,Female,No,No,Yes,21,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,18.21,7524.36,Yes,5,3,<2 Years
CUST100047,Male,Yes,Yes,No,70,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,18.46,5317.62,No,10,2,<6 Years
CUST100048,Male,Yes,No,No,48,No,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,100.64,5382.21,Yes,1,4,<5 Years
CUST100049,Male,No,No,Yes,15,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,99.21,5008.93,Yes,8,0,<2 Years
CUST100050,Female,No,Yes,Yes,37,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer,76.24,6835.83,No,4,1,<4 Years
CUST100051,Female,Yes,Yes,No,35,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.67,3493.77,Yes,8,1,<3 Years
CUST100052,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,26.34,4687.44,No,1,5,<6 Years
CUST100053,Female,No,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,36.08,948.42,Yes,3,3,<5 Years
CUST100054,Male,Yes,Yes,Yes,71,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,78.92,7690.12,Yes,2,2,<6 Years
CUST100055,Female,No,Yes,No,30,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,37.34,391.44,No,10,0,<3 Years
CUST100056,Female,Yes,No,No,5,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Credit card,35.23,986.94,Yes,6,5,<1 Year
CUST100057,Male,No,Yes,Yes,48,Yes,No,No,No,Yes,Yes,No,No,No,Two year,No,Mailed check,61.05,6857.62,Yes,7,1,<5 Years
CUST100058,Female,Yes,Yes,No,23,No,No,No,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,101.29,1078.81,No,10,1,<2 Years
CUST100059,Male,Yes,Yes,No,14,No,No,No,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,49.89,6787.19,Yes,3,0,<2 Years
CUST100060,Male,No,Yes,Yes,55,No,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,89.65,1645.38,No,3,4,<5 Years
CUST100061,Male,No,Yes,No,2,No,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,41.64,2565.67,No,4,1,<1 Year
CUST100062,Male,No,Yes,No,27,No,No,No,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,97.79,6555.25,Yes,4,2,<3 Years
CUST100063,Female,No,Yes,No,23,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,104.34,343.46,No,1,3,<2 Years
CUST100064,Female,Yes,No,No,24,No,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer,69.29,4892.74,No,6,4,<3 Years
CUST100065,Female,No,Yes,Yes,4,Yes,No,No,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,110.44,1003.64,Yes,8,0,<1 Year
CUST100066,Male,Yes,No,Yes,24,No,No,DSL,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,110.55,249.35,No,3,0,<3 Years
CUST100067,Female,Yes,Yes,Yes,53,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,112.31,2966.7,No,7,0,<5 Years
CUST100068,Male,No,No,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,19.52,2954.76,Yes,8,5,<6 Years
CUST100069,Male,Yes,No,No,2,Yes,No,No,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card,93.82,312.86,Yes,10,1,<1 Year
CUST100070,Male,Yes,Yes,Yes,13,No,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,31.62,2724.81,Yes,9,3,<2 Years
CUST100071,Female,Yes,No,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Credit card,32.35,6131.6,Yes,2,1,<3 Years
CUST100072,Female,Yes,Yes,Yes,24,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card,82.63,6626.48,Yes,6,5,<3 Years
CUST100073,Female,No,No,No,51,No,Yes,No,No,No,Yes,No,Yes,No,One year,No,Electronic check,45.04,1704.91,Yes,5,1,<5 Years
CUST100074,Male,No,No,No,35,No,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,44.1,4132.68,Yes,4,0,<3 Years
CUST100075,Male,No,Yes,Yes,64,No,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,60.06,3265.04,No,9,1,<6 Years
CUST100076,Female,Yes,Yes,No,10,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,99.58,2385.96,No,5,3,<1 Year
CUST100077,Male,No,Yes,Yes,8,No,No,No,No,Yes,No,No,No,No,Two year,No,Mailed check,97.92,6119.24,Yes,2,3,<1 Year
CUST100078,Female,Yes,No,No,55,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Bank transfer,49.76,249.19,Yes,7,5,<5 Years
CUST100079,Female,Yes,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card,92.96,956.17,Yes,9,2,<6 Years
CUST100080,Female,Yes,No,Yes,4,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,96.86,6058.47,No,7,5,<1 Year
CUST100081,Male,No,No,Yes,10,No,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,85.12,1177.85,Yes,1,1,<1 Year
CUST100082,Female,No,Yes,No,58,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Credit card,56.92,5281.76,Yes,10,3,<5 Years
CUST100083,Male,No,No,No,60,No,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,84.89,4412.87,No,10,1,<6 Years
CUST100084,Male,Yes,No,Yes,3,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,45.31,2018.08,No,3,2,<1 Year
CUST100085,Female,Yes,No,Yes,28,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,75.98,6609.02,Yes,2,4,<3 Years
CUST100086,Female,Yes,No,Yes,11,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,69.63,4485.82,Yes,0,5,<1 Year
CUST100087,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,95.29,5089.18,No,10,3,<5 Years
CUST100088,Female,Yes,No,Yes,25,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,21.0,219.76,No,3,4,<3 Years
CUST100089,Male,Yes,No,Yes,58,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,46.01,3295.44,Yes,1,2,<5 Years
CUST100090,Male,No,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,39.98,2870.95,No,3,4,<1 Year
CUST100091,Female,Yes,Yes,No,44,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,77.91,2475.14,No,3,2,<4 Years
CUST100092,Male,Yes,No,No,2,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,30.0,2261.55,No,1,3,<1 Year
CUST100093,Male,No,No,No,5,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,48.1,6176.5,Yes,0,0,<1 Year
CUST100094,Male,No,No,Yes,38,No,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card,54.09,7020.14,No,3,1,<4 Years
CUST100095,Male,Yes,No,Yes,26,No,No,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,88.93,643.77,Yes,3,4,<3 Years
CUST100096,Male,No,Yes,Yes,27,No,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,31.21,3678.99,No,7,3,<3 Years
CUST100097,Female,No,Yes,No,24,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,117.59,6971.45,No,3,2,<3 Years
CUST100098,Male,No,Yes,Yes,53,No,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,77.42,4556.27,No,3,4,<5 Years
CUST100099,Female,No,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card,45.08,905.67,No,6,4,<5 Years
CUST100100,Female,Yes,No,Yes,24,No,No,No,No,Yes,No,Yes,No,No,Two year,Yes,Mailed check,93.49,1251.12,Yes,1,0,<3 Years
CUST100101,Female,Yes,Yes,Yes,33,No,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer,67.37,1417.08,No,9,3,<3 Years
CUST100102,Female,No,Yes,No,36,No,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,111.62,6240.09,No,1,3,<4 Years
CUST100103,Male,Yes,No,Yes,49,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,78.36,5200.84,Yes,3,0,<5 Years
CUST100104,Male,Yes,Yes,Yes,29,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer,27.91,1482.19,Yes,4,3,<3 Years
CUST100105,Female,No,Yes,Yes,15,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,109.87,899.52,No,10,3,<2 Years
CUST100106,Female,Yes,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,95.48,3560.49,No,3,1,<5 Years
CUST100107,Male,No,No,Yes,21,Yes,No,No,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer,62.9,2027.89,No,1,2,<2 Years
CUST100108,Female,No,No,No,36,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Mailed check,100.88,6158.82,Yes,6,2,<4 Years
CUST100109,Female,No,Yes,Yes,57,No,No,No,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,42.21,445.23,Yes,9,2,<5 Years
CUST100110,Male,No,Yes,No,56,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer,57.85,1636.94,Yes,1,1,<5 Years
CUST100111,Female,Yes,No,Yes,31,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,111.07,6163.15,No,7,0,<3 Years
CUST100112,Male,Yes,Yes,No,72,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Two year,No,Electronic check,37.81,4721.51,No,3,0,<6 Years
CUST100113,Female,Yes,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,70.76,2110.78,No,3,0,<1 Year
CUST100114,Male,No,No,No,70,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,30.96,1413.55,No,9,3,<6 Years
CUST100115,Male,No,No,No,29,No,No,No,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card,62.37,7745.75,No,8,5,<3 Years
CUST100116,Female,No,No,Yes,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,92.39,4951.06,Yes,8,1,<1 Year
CUST100117,Male,Yes,Yes,Yes,51,No,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,90.24,233.42,Yes,3,4,<5 Years
CUST100118,Male,No,Yes,No,42,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card,91.78,2652.84,Yes,2,4,<4 Years
CUST100119,Female,No,No,No,34,No,No,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,31.2,2409.52,No,5,4,<3 Years
CUST100120,Male,No,No,Yes,8,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,101.94,6219.58,Yes,5,1,<1 Year
CUST100121,Male,No,No,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer,111.71,633.59,Yes,0,0,<2 Years
CUST100122,Female,Yes,Yes,No,45,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,111.6,1372.38,No,1,2,<4 Years
CUST100123,Female,Yes,No,Yes,71,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Credit card,46.36,3652.51,Yes,1,3,<6 Years
CUST100124,Male,No,No,No,42,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer,116.99,2917.36,No,8,0,<4 Years
CUST100125,Male,Yes,No,No,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,56.86,3006.05,No,10,0,<2 Years
CUST100126,Female,No,Yes,Yes,29,No,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,59.36,6835.88,Yes,5,4,<3 Years
CUST100127,Female,No,Yes,No,29,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,66.43,4804.57,Yes,2,0,<3 Years
CUST100128,Male,No,Yes,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer,115.2,1918.36,Yes,8,4,<2 Years
CUST100129,Male,Yes,No,No,60,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,113.62,5600.58,No,7,4,<6 Years
CUST100130,Male,No,Yes,No,21,No,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,87.71,5873.26,No,7,1,<2 Years
CUST100131,Male,No,No,No,64,No,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card,74.41,2762.81,Yes,6,4,<6 Years
CUST100132,Male,Yes,Yes,Yes,24,No,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,No,Bank transfer,19.22,7856.85,No,10,0,<3 Years
CUST100133,Female,Yes,No,Yes,70,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Two year,No,Mailed check,62.48,4872.34,No,3,1,<6 Years
CUST100134,Male,No,Yes,No,12,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,18.84,1097.8,Yes,8,2,<2 Years
CUST100135,Male,Yes,No,Yes,21,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer,56.87,5038.4,Yes,2,1,<2 Years
CUST100136,Male,No,Yes,No,16,Yes,Yes,No,No,No,Yes,No,No,No,Two year,Yes,Electronic check,30.72,5779.81,Yes,5,5,<2 Years
CUST100137,Female,Yes,No,No,50,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.89,5597.04,No,3,1,<5 Years
CUST100138,Male,No,No,Yes,29,No,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Bank transfer,51.65,7579.22,Yes,0,0,<3 Years
CUST100139,Female,No,Yes,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,No,Mailed check,36.95,6524.0,Yes,7,2,<4 Years
CUST100140,Female,No,Yes,No,7,No,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,79.21,6263.56,No,7,1,<1 Year
CUST100141,Male,No,No,Yes,39,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card,33.03,7779.34,Yes,10,0,<4 Years
CUST100142,Male,Yes,No,Yes,55,No,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,40.78,3828.32,No,6,3,<5 Years
CUST100143,Female,Yes,No,No,8,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,74.98,7944.26,No,0,0,<1 Year
CUST100144,Female,Yes,Yes,No,17,Yes,No,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,92.61,3114.16,Yes,1,0,<2 Years
CUST100145,Female,No,Yes,No,56,No,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Bank transfer,43.13,2991.19,No,3,4,<5 Years
CUST100146,Female,No,No,Yes,54,No,No,No,No,No,Yes,No,No,No,One year,Yes,Credit card,33.1,797.86,No,2,2,<5 Years
CUST100147,Female,Yes,No,Yes,58,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Mailed check,105.15,1974.09,Yes,6,5,<5 Years
CUST100148,Male,No,No,Yes,51,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,92.31,3276.75,No,8,5,<5 Years
CUST100149,Male,Yes,No,No,43,Yes,No,No,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,117.93,2781.98,No,4,1,<4 Years
CUST100150,Male,No,No,Yes,22,No,No,No,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,103.4,5391.81,Yes,3,1,<2 Years
CUST100151,Male,No,Yes,No,59,No,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card,114.66,1991.95,Yes,1,1,<5 Years
CUST100152,Female,No,No,No,22,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,92.62,6830.76,No,1,5,<2 Years
CUST100153,Male,Yes,No,Yes,71,Yes,No,No,Yes,Yes,No,No,Yes,Yes,One year,No,Credit card,37.77,3307.4,No,10,5,<6 Years
CUST100154,Male,Yes,Yes,Yes,39,Yes,No,No,No,Yes,No,Yes,No,Yes,Two year,No,Credit card,62.69,1220.29,Yes,4,0,<4 Years
CUST100155,Male,Yes,Yes,Yes,46,No,No,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,106.18,184.19,Yes,9,5,<4 Years
CUST100156,Male,No,Yes,Yes,27,No,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Bank transfer,74.48,5070.02,Yes,0,1,<3 Years
CUST100157,Male,Yes,No,No,63,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,78.36,6705.24,No,6,0,<6 Years
CUST100158,Male,No,No,Yes,34,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,No,Mailed check,98.33,4644.58,No,0,0,<3 Years
CUST100159,Male,No,Yes,Yes,48,No,No,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Mailed check,85.86,893.37,No,4,2,<5 Years
CUST100160,Male,Yes,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,69.35,6629.37,No,6,4,<1 Year
CUST100161,Male,No,No,No,58,Yes,Yes,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,90.35,7014.27,No,7,3,<5 Years
